place_id,name,address,latitude,longitude,rating,num_reviews,food_types,price_level,hours
ChIJK1IKJLIBdkgR-DVXXhotFCE,The Greek Corner,"43 Lower Addiscombe Rd, Croydon CR0 6PQ, UK",51.3806722,-0.0876219,4.4,230,"greek_restaurant, restaurant",N/A,Monday: 9:00 AM – 10:00 PM; Tuesday: 9:00 AM – 10:00 PM; Wednesday: 9:00 AM – 10:00 PM; Thursday: 9:00 AM – 10:00 PM; Friday: 9:00 AM – 10:00 PM; Saturday: 9:00 AM – 10:00 PM; Sunday: 9:00 AM – 10:00 PM
ChIJTdPXw9EAdkgR58-q6u_TEII,"The Builders Arms, Croydon","65 Leslie Park Rd, Croydon CR0 6TP, UK",51.3794932,-0.0859455,4.3,558,"pub, bar",PRICE_LEVEL_MODERATE,Monday: 12:00 – 11:00 PM; Tuesday: 12:00 – 11:00 PM; Wednesday: 12:00 – 11:00 PM; Thursday: 12:00 – 11:00 PM; Friday: 12:00 PM – 12:00 AM; Saturday: 12:00 PM – 12:00 AM; Sunday: 12:00 – 10:00 PM
ChIJsYAEZC0HdkgRdg0BCX6_Lc0,Bedford Tavern,"16 Sydenham Rd, Croydon CR0 2EF, UK",51.3787879,-0.0951121,4.1,790,"pub, bar",PRICE_LEVEL_MODERATE,Monday: 11:30 AM – 11:00 PM; Tuesday: 11:30 AM – 11:00 PM; Wednesday: 11:30 AM – 11:00 PM; Thursday: 11:30 AM – 11:00 PM; Friday: 11:30 AM – 11:00 PM; Saturday: 12:00 – 11:00 PM; Sunday: 12:00 – 10:30 PM
ChIJyTVJiI8HdkgR-yOm4omnQio,Rico's Slushies,"135 Windmill Rd, Croydon CR0 2XT, UK",51.3862077,-0.0989255,4.5,344,"restaurant, juice_shop, fast_food_restaurant, dessert_restaurant",N/A,Monday: 8:00 AM – 8:00 PM; Tuesday: 9:00 AM – 8:00 PM; Wednesday: 9:00 AM – 8:00 PM; Thursday: 9:00 AM – 9:00 PM; Friday: 9:00 AM – 9:00 PM; Saturday: 11:00 AM – 9:00 PM; Sunday: 11:00 AM – 8:00 PM
ChIJI18AapIBdkgRP9xhijyS960,The White Horse,"1 Selhurst Rd, London SE25 5QF, UK",51.388992099999996,-0.0909923,4.5,73,"pub, bar",N/A,Monday: 3:00 – 11:00 PM; Tuesday: 3:00 – 11:00 PM; Wednesday: 3:00 – 11:00 PM; Thursday: 3:00 – 11:00 PM; Friday: 12:00 – 11:00 PM; Saturday: 12:00 – 11:00 PM; Sunday: 12:00 – 10:30 PM
ChIJ--R6XAABdkgR6Jz7wa_MyVs,Morley’s Chicken (Lower Addiscombe),"45 Lower Addiscombe Rd, Croydon CR0 6PQ, UK",51.380600699999995,-0.0873819,4,66,"meal_takeaway, restaurant",N/A,Monday: 11:00 AM – 3:00 AM; Tuesday: 11:00 AM – 3:00 AM; Wednesday: 11:00 AM – 3:00 AM; Thursday: 11:00 AM – 3:00 AM; Friday: 11:00 AM – 3:00 AM; Saturday: 11:00 AM – 3:00 AM; Sunday: 12:00 PM – 3:00 AM
ChIJDVfNE8IBdkgRPSE7Y771gt8,Rio Lounge - South Indian and Sri Lankan Restaurant,"162-164 Cherry Orchard Rd, Croydon CR0 6BB, UK",51.3800308,-0.0868388,4.1,56,"indian_restaurant, restaurant",N/A,Monday: 4:00 – 11:00 PM; Tuesday: 4:00 – 11:00 PM; Wednesday: 4:00 – 11:00 PM; Thursday: 4:00 – 11:00 PM; Friday: 11:00 AM – 11:00 PM; Saturday: 11:00 AM – 11:00 PM; Sunday: 11:00 AM – 11:00 PM
ChIJM8FcsogBdkgRsIVgsMYWJbs,Kongunadu Restaurant,"129 Cherry Orchard Rd, Croydon CR0 6BE, UK",51.3793934,-0.08852199999999999,4.4,68,"asian_restaurant, indian_restaurant, restaurant",N/A,N/A
ChIJZ4SSP9AAdkgRghEhc5Uq2wY,Papa Johns Pizza,"85 Lower Addiscombe Rd, Croydon CR0 6PT, UK",51.3797831,-0.0833047,2.5,294,"pizza_restaurant, restaurant",PRICE_LEVEL_MODERATE,Monday: 11:00 AM – 11:00 PM; Tuesday: 11:00 AM – 11:00 PM; Wednesday: 11:00 AM – 11:00 PM; Thursday: 11:00 AM – 1:00 AM; Friday: 11:00 AM – 3:00 AM; Saturday: 11:00 AM – 3:00 AM; Sunday: 11:00 AM – 1:00 AM
ChIJX3d_EdIAdkgRLOMGFmoKeLY,Mr Chippy Croydon,"123 Cherry Orchard Rd, Croydon CR0 6BE, UK",51.379328099999995,-0.08871509999999999,4.5,370,"meal_takeaway, restaurant",PRICE_LEVEL_MODERATE,Monday: 12:00 – 10:00 PM; Tuesday: 12:00 – 10:00 PM; Wednesday: 12:00 – 10:00 PM; Thursday: 12:00 – 10:00 PM; Friday: 12:00 – 10:00 PM; Saturday: 12:00 – 10:00 PM; Sunday: 4:00 – 10:00 PM
