name,address,latitude,longitude,rating,num_reviews,food_types,price_level,hours,place_id
Loolabells outdoors kitchen,"KGV playing fields, Effingham, Leatherhead KT24 5ND, UK",51.2699316,-0.3966054,4.9,58,meal_takeaway,N/A,Monday: 8:00 AM – 6:00 PM; Tuesday: 8:00 AM – 6:00 PM; Wednesday: 8:00 AM – 6:00 PM; Thursday: 8:00 AM – 6:00 PM; Friday: 8:00 AM – 6:00 PM; Saturday: 8:00 AM – 6:00 PM; Sunday: 9:00 AM – 4:00 PM,ChIJydbiap7fdUgRUilArChrNVc
Merry-House ChineseTakeaway Surrey | Malaysian | Fish & Chips,"Shop 3, Parade Court, Ockham Rd S, East Horsley, Leatherhead KT24 6QR, UK",51.2768097,-0.43523039999999996,4.3,137,meal_takeaway,PRICE_LEVEL_MODERATE,"Monday: Closed; Tuesday: 5:00 – 9:00 PM; Wednesday: 5:00 – 9:00 PM; Thursday: 12:00 – 1:30 PM, 5:00 – 9:00 PM; Friday: 12:00 – 1:30 PM, 5:00 – 9:00 PM; Saturday: 12:00 – 1:30 PM, 5:00 – 9:00 PM; Sunday: Closed",ChIJ_Wjwn5HedUgRatd6amP7KUc
Kirthon,"Station Parade, Ockham Rd S, East Horsley, Leatherhead KT24 6QN, UK",51.277105999999996,-0.434826,4.5,111,"indian_restaurant, asian_restaurant, meal_takeaway",PRICE_LEVEL_MODERATE,"Monday: 5:30 – 11:00 PM; Tuesday: 5:30 – 11:00 PM; Wednesday: 5:30 – 11:00 PM; Thursday: 5:30 – 11:00 PM; Friday: 5:30 – 11:00 PM; Saturday: 5:30 – 11:00 PM; Sunday: 12:00 – 2:30 PM, 5:30 – 11:00 PM",ChIJC4n4m5HedUgR1GYvFAbqT-U
Orindi’s Deli (Cafe and Catering),"1 Cobham Way, East Horsley, Leatherhead KT24 5BH, UK",51.2781016,-0.43505479999999996,4.8,132,"cafe, deli, catering_service, food_delivery, italian_restaurant, grocery_store, food_store, store",N/A,Monday: Closed; Tuesday: 8:00 AM – 2:00 PM; Wednesday: 7:30 AM – 4:00 PM; Thursday: 7:30 AM – 4:00 PM; Friday: 7:30 AM – 4:00 PM; Saturday: 7:30 AM – 3:30 PM; Sunday: Closed,ChIJ3QCleMcLdkgRfVt3ykCVuwQ
Tara Bar and Restaurant,"8 Station Parade, Ockham Rd S, East Horsley, Leatherhead KT24 6QN, UK",51.277369500000006,-0.43553769999999997,4.5,45,thai_restaurant,N/A,Monday: Closed; Tuesday: Closed; Wednesday: 5:30 – 9:00 PM; Thursday: 6:00 – 9:00 PM; Friday: 6:00 – 10:00 PM; Saturday: 6:00 – 10:00 PM; Sunday: 6:00 – 9:00 PM,ChIJ7XILjODfdUgRngSGBjY9USw
Shahbaz Taste Of India,"16 Bishopsmead Parade, East Horsley, Leatherhead KT24 6RT, UK",51.264894999999996,-0.4320519,3.8,22,"meal_takeaway, indian_restaurant",N/A,N/A,ChIJAVEw1YLedUgRTmBAuepJlDI
Vindaloo - Leatherhead,"15 Bishopsmead Parade, East Horsley, Leatherhead KT24 6RT, UK",51.2649032,-0.43199499999999996,1,1,meal_takeaway,N/A,"Monday: Closed; Tuesday: 12:00 – 2:00 PM, 6:00 – 10:30 PM; Wednesday: 12:00 – 2:00 PM, 6:00 – 10:30 PM; Thursday: 12:00 – 2:00 PM, 6:00 – 10:30 PM; Friday: 12:00 – 2:00 PM, 6:00 – 10:30 PM; Saturday: 12:00 – 2:00 PM; Sunday: 12:00 – 2:45 PM, 6:00 – 10:30 PM",ChIJ1Tv0ZWbfdUgRgdNhcRKkFBI
Beaverbrook,"Reigate Rd, Leatherhead KT22 8QX, UK",51.277009,-0.31221319999999997,4.6,601,"hotel, spa, event_venue, bar, lodging",N/A,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,ChIJ0_v_DDvhdUgRxzrIBql2T7c
McDonald’s Leatherhead,"9, 17 Church St, Leatherhead KT22 8DN, UK",51.294742,-0.3287848,2.7,215,fast_food_restaurant,N/A,Monday: 7:00 AM – 11:00 PM; Tuesday: 7:00 AM – 11:00 PM; Wednesday: 7:00 AM – 11:00 PM; Thursday: 7:00 AM – 11:00 PM; Friday: 7:00 AM – 11:00 PM; Saturday: 7:00 AM – 11:00 PM; Sunday: 7:00 AM – 11:00 PM,ChIJb-pDTADhdUgRA6-ymu2B1-Y
The Running Horses,"Old London Rd, Mickleham, Dorking RH5 6DU, UK",51.2677414,-0.3241274,4.4,1185,"pub, bed_and_breakfast, bar_and_grill, bar, lodging",PRICE_LEVEL_MODERATE,Monday: 12:00 – 10:45 PM; Tuesday: 12:00 – 10:45 PM; Wednesday: 12:00 – 10:45 PM; Thursday: 12:00 – 10:45 PM; Friday: 12:00 – 10:45 PM; Saturday: 12:00 – 10:45 PM; Sunday: 12:00 – 10:45 PM,ChIJkwrZKCrhdUgRSgg_RRlJpLM
The King William IV,"Byttom Hill, Mickleham, Dorking RH5 6EL, UK",51.271545,-0.31934999999999997,4.6,1417,"pub, bar",PRICE_LEVEL_MODERATE,Monday: Closed; Tuesday: Closed; Wednesday: 12:00 – 10:00 PM; Thursday: 12:00 – 10:00 PM; Friday: 12:00 – 11:00 PM; Saturday: 12:00 – 11:00 PM; Sunday: 12:00 – 9:00 PM,ChIJu3OHFC_hdUgRbnAhtvQYl9Y
Penny Black,"5 North St, Leatherhead KT22 7AX, UK",51.2955137,-0.3301219,4.3,834,"pub, bar",PRICE_LEVEL_MODERATE,Monday: 11:00 AM – 11:00 PM; Tuesday: 11:00 AM – 11:00 PM; Wednesday: 11:00 AM – 11:00 PM; Thursday: 11:00 AM – 11:00 PM; Friday: 11:00 AM – 12:00 AM; Saturday: 11:00 AM – 12:00 AM; Sunday: 11:00 AM – 10:30 PM,ChIJj-bl3_zgdUgRrrLqmR1Ytp4
Prezzo Italian Restaurant Leatherhead,"21-25 Church St, Leatherhead KT22 8DN, UK",51.294488799999996,-0.3286233,4.1,549,italian_restaurant,PRICE_LEVEL_MODERATE,Monday: 11:30 AM – 10:00 PM; Tuesday: 11:30 AM – 10:00 PM; Wednesday: 11:30 AM – 10:00 PM; Thursday: 11:30 AM – 10:00 PM; Friday: 11:30 AM – 11:00 PM; Saturday: 11:30 AM – 11:00 PM; Sunday: 11:30 AM – 10:00 PM,ChIJgTmlNv3gdUgRt4bZ8DUIVSI
